id,title,course_code,assessment_type,max_score,weight_pct,date_assigned,scheduled_date,hall,status,academic_year,template_key,instructor_id
198,Final - CS-094,44,Final,100.0,40,2025-12-07T00:00:00,2025-12-02T00:00:00,Hall A,Active,2025,final,10
199,Practical - CS-094,44,Practical,100.0,15,2025-12-21T00:00:00,2025-11-09T00:00:00,Hall B,Finished,2025,practical,10
200,Quiz 1 - BUS-101,45,Quiz,100.0,10,2025-12-14T00:00:00,2026-01-10T00:00:00,Hall A,Finished,2025,quiz_1,12
201,Quiz 2 - BUS-101,45,Quiz,100.0,10,2026-01-15T00:00:00,2026-02-11T00:00:00,Hall A,Active,2025,quiz_2,12
202,Midterm - BUS-101,45,Midterm,100.0,25,2026-02-01T00:00:00,2025-11-17T00:00:00,Hall B,Finished,2025,midterm,12
203,Final - BUS-101,45,Final,100.0,40,2025-12-06T00:00:00,2026-03-18T00:00:00,Hall A,Finished,2025,final,12
204,Practical - BUS-101,45,Practical,100.0,15,2026-02-16T00:00:00,2025-11-01T00:00:00,Lab 2,Active,2025,practical,12
205,Quiz 1 - BUS-102,46,Quiz,100.0,10,2026-02-19T00:00:00,2025-12-08T00:00:00,Hall A,Active,2025,quiz_1,1
206,Quiz 2 - BUS-102,46,Quiz,100.0,10,2025-10-21T00:00:00,2026-02-22T00:00:00,Lab 1,Active,2025,quiz_2,1
207,Midterm - BUS-102,46,Midterm,100.0,25,2026-02-10T00:00:00,2025-11-27T00:00:00,Hall B,Active,2025,midterm,1
208,Final - BUS-102,46,Final,100.0,40,2025-11-17T00:00:00,2026-02-09T00:00:00,Lab 2,Active,2025,final,1
209,Practical - BUS-102,46,Practical,100.0,15,2026-02-17T00:00:00,2026-02-17T00:00:00,Hall B,Finished,2025,practical,1
210,Quiz 1 - BUS-103,47,Quiz,100.0,10,2026-02-26T00:00:00,2026-02-10T00:00:00,Lab 2,Active,2025,quiz_1,5
211,Quiz 2 - BUS-103,47,Quiz,100.0,10,2026-02-07T00:00:00,2026-02-06T00:00:00,Lab 1,Finished,2025,quiz_2,5
212,Midterm - BUS-103,47,Midterm,100.0,25,2025-10-24T00:00:00,2026-01-23T00:00:00,Lab 1,Finished,2025,midterm,5
213,Final - BUS-103,47,Final,100.0,40,2025-12-06T00:00:00,2026-01-20T00:00:00,Hall A,Waiting,2025,final,5
214,Practical - BUS-103,47,Practical,100.0,15,2025-11-01T00:00:00,2025-12-05T00:00:00,Hall B,Waiting,2025,practical,5
215,Quiz 1 - BUS-111,48,Quiz,100.0,10,2026-01-31T00:00:00,2026-02-01T00:00:00,Hall B,Finished,2025,quiz_1,17
216,Quiz 2 - BUS-111,48,Quiz,100.0,10,2026-01-06T00:00:00,2025-11-12T00:00:00,Lab 1,Waiting,2025,quiz_2,17
217,Midterm - BUS-111,48,Midterm,100.0,25,2025-10-19T00:00:00,2026-03-02T00:00:00,Hall A,Active,2025,midterm,17
218,Final - BUS-111,48,Final,100.0,40,2025-10-16T00:00:00,2025-12-29T00:00:00,Lab 2,Waiting,2025,final,17
219,Quiz 1 - BUS-112,49,Quiz,100.0,10,2026-01-16T00:00:00,2026-01-20T00:00:00,Hall B,Active,2025,quiz_1,5
220,Quiz 2 - BUS-112,49,Quiz,100.0,10,2025-11-02T00:00:00,2025-11-26T00:00:00,Lab 1,Active,2025,quiz_2,5
221,Midterm - BUS-112,49,Midterm,100.0,25,2026-01-04T00:00:00,2025-11-15T00:00:00,Lab 2,Active,2025,midterm,5
222,Final - BUS-112,49,Final,100.0,40,2025-10-02T00:00:00,2025-11-13T00:00:00,Hall A,Finished,2025,final,5
223,Quiz 1 - BUS-113,50,Quiz,100.0,10,2026-02-24T00:00:00,2026-01-17T00:00:00,Hall B,Active,2025,quiz_1,13
224,Quiz 2 - BUS-113,50,Quiz,100.0,10,2026-02-13T00:00:00,2026-03-29T00:00:00,Lab 1,Waiting,2025,quiz_2,13
225,Midterm - BUS-113,50,Midterm,100.0,25,2025-10-13T00:00:00,2026-01-15T00:00:00,Lab 2,Active,2025,midterm,13
226,Final - BUS-113,50,Final,100.0,40,2025-12-10T00:00:00,2026-03-23T00:00:00,Lab 2,Active,2025,final,13
